Requests/sec,Size/request,Status 200,Status 500,Concurrent requests,10th percentile,50th percentile,75th percentile,90th percentile,99th percentile,hello - Current replicas
1387.2685,28 bytes,4500,0,180,0.0156,0.0529,0.0842,0.1329,1.6415,4
1314.7572,28 bytes,4400,0,200,0.0071,0.0442,0.0877,0.1583,1.6473,5
1275.1227,28 bytes,4500,0,300,0.0118,0.0583,0.1003,0.2158,1.9611,5
598.1923,28 bytes,4400,0,400,0.0188,0.0322,0.0446,0.0953,6.3703,1
600.3044,28 bytes,4500,0,500,0.0185,0.0317,0.0441,0.5820,6.6297,1
672.6704,28 bytes,4000,0,1000,0.0055,0.0139,0.2864,3.5691,5.5669,2
741.4253,28 bytes,5000,0,10,0.0063,0.0120,0.0165,0.0216,0.0330,2
803.1179,28 bytes,5000,0,20,0.0084,0.0217,0.0323,0.0439,0.0706,2
944.3236,28 bytes,5000,0,50,0.0085,0.0307,0.0576,0.0926,0.3484,3
1157.2891,28 bytes,4970,0,70,0.0116,0.0393,0.0630,0.0951,0.5158,3
1120.5931,28 bytes,4960,0,80,0.0086,0.0325,0.0634,0.1176,0.7726,3
1121.2603,28 bytes,5000,0,100,0.0091,0.0465,0.0833,0.1387,0.7781,4
1100.9125,28 bytes,5000,0,125,0.0148,0.0621,0.1004,0.1531,0.8903,4
1216.0117,28 bytes,4995,0,135,0.0087,0.0421,0.0822,0.1355,1.4649,5
1224.7472,28 bytes,4960,0,160,0.0117,0.0589,0.0991,0.1508,1.1845,5
1355.3918,28 bytes,4860,0,180,0.0157,0.0618,0.0979,0.1566,1.2256,5
1357.3821,28 bytes,5000,0,200,0.0146,0.0583,0.0951,0.1535,1.8838,5
1294.8091,28 bytes,4800,0,300,0.0188,0.0785,0.1404,0.2397,1.9033,5
1338.6162,28 bytes,4800,0,400,0.0195,0.0604,0.1050,0.2218,2.6447,5
1294.1869,28 bytes,5000,0,500,0.0107,0.0588,0.1070,0.5395,3.1326,5
1391.5784,28 bytes,5000,0,1000,0.0170,0.0573,0.1641,1.7584,3.1360,5
636.2347,28 bytes,5500,0,10,0.0073,0.0149,0.0193,0.0241,0.0347,1
635.2964,28 bytes,5500,0,20,0.0190,0.0291,0.0370,0.0458,0.0600,1
822.6132,28 bytes,5500,0,50,0.0092,0.0408,0.0812,0.1086,0.2753,2
718.0872,28 bytes,5460,0,70,0.0147,0.0599,0.0844,0.1233,1.0341,2
582.7772,28 bytes,5440,0,80,0.0387,0.0933,0.1311,0.1497,0.4166,1
606.5640,28 bytes,5500,0,100,0.0501,0.0946,0.1199,0.1672,1.2188,1
862.7431,28 bytes,5500,0,125,0.0092,0.0583,0.0911,0.1216,2.4225,2
827.1377,28 bytes,5400,0,135,0.0279,0.0652,0.0955,0.1320,2.4092,2
746.1761,28 bytes,5440,0,160,0.0130,0.0524,0.1024,0.1691,3.8046,2
884.1402,27 bytes,5333,67,180,0.0182,0.0691,0.1212,0.2026,2.4072,1
656.0421,28 bytes,5400,0,200,0.0316,0.0509,0.0666,0.0882,5.5527,1
638.0659,28 bytes,5400,0,300,0.0235,0.0391,0.0532,0.0725,6.7708,1
855.8336,28 bytes,5200,0,400,0.0108,0.0349,0.0634,0.1396,5.0194,2
906.2723,28 bytes,5500,0,500,0.0144,0.0402,0.0664,0.1746,4.9626,2
819.8476,28 bytes,5000,0,1000,0.0119,0.0336,0.0798,3.0029,5.6319,2
829.2156,28 bytes,6000,0,10,0.0056,0.0105,0.0148,0.0201,0.0334,3
674.2350,28 bytes,5996,4,20,0.0161,0.0273,0.0353,0.0443,0.0642,1
656.0474,28 bytes,6000,0,50,0.0393,0.0659,0.0838,0.1082,0.1649,1
672.7131,28 bytes,5950,0,70,0.0356,0.0807,0.0986,0.1438,0.2173,1
862.1446,28 bytes,6000,0,80,0.0119,0.0500,0.0938,0.1250,0.9275,2
727.6710,28 bytes,6000,0,100,0.0103,0.0574,0.1095,0.1536,1.8222,2
622.5188,28 bytes,6000,0,125,0.0432,0.0815,0.1059,0.1465,2.7240,1
657.2022,28 bytes,5940,0,135,0.0426,0.0789,0.1018,0.1302,3.1269,1
821.3578,28 bytes,5920,0,160,0.0090,0.0482,0.0806,0.1241,4.1149,2
854.3209,28 bytes,5940,0,180,0.0194,0.0654,0.0984,0.1410,2.8328,2
698.7661,28 bytes,6000,0,200,0.0349,0.0574,0.0733,0.0999,5.4207,1
598.0187,28 bytes,6000,0,300,0.0285,0.0472,0.0627,0.0889,7.6839,1
848.8676,28 bytes,6000,0,400,0.0088,0.0292,0.0545,0.1117,5.7923,2
